"","memory-1","memory-2","memory-3","plasmablasts-1","plasmablasts-2","plasmablasts-3","plasmacells-1","plasmacells-2","plasmacells-3","preplasmablasts-1","preplasmablasts-2","preplasmablasts-3"
"PPTC7",9535.31562838893,12011.0621877709,11423.0756587337,1382.20883917172,1466.52470989286,1572.12971892125,1677.39211078988,1720.1347421316,963.727096126321,1839.38403015265,2534.42303055617,2036.28111213347
"PPWD1",1902.13173165091,2533.00576052123,3407.43338344996,1537.59233256141,1048.04504502933,935.929972195159,1630.44805324786,1188.18119914761,2252.88542338553,994.848129754706,828.552049450746,864.306050116331
"PQBP1",1568.85486230523,2137.30387588595,1157.36507862443,2229.35229590219,2544.33567915227,2559.29945148017,2299.56223546354,2674.72106929462,1753.61357818895,1317.62443674341,1822.98765875171,1629.41517500101
"PRADC1",47.7978001221141,61.0651663802489,37.6330117598835,946.637100906128,618.258361483458,525.389249754426,518.913451214289,688.5507808146,948.944955943638,813.985466888838,542.961101733887,437.116071146592
"PRAF2",139.823876484439,108.961966222072,94.2224889147505,332.71010725973,397.600368266821,450.36662111043,352.712445220927,451.388004437765,158.575460809617,185.766175416409,305.694414447779,243.010489995234
"PRAG1",451.874269044704,157.583928777866,702.232122573574,10.4525304505745,18.373482258195,43.7885897287351,33.8322588701364,24.4086164227901,4.87613589962604,70.3335698887836,87.1826536547197,138.305122860503
"PRAM1",20.246748123629,23.9277202836238,41.0035644216083,9.05575158676694,0,2.86017133356111,6.1725680630309,7.72381180101069,12.0750944932698,5.64018438037937,3.07652355368752,3.42762684146235
"PRAME",0.548417688995493,0,0,2.20277934674776,3.72576754745677,0.820127892045922,0,5.94265233361048,0,9.14512106422197,8.31027557767575,2.58522018117429
"PRAMENP",13.8693244892662,78.6096865003795,31.9692705167373,9.64461262325224,19.2153086460713,19.1141477544029,26.8920105330326,32.5198747560376,22.0037081375845,13.8111259455234,6.29178111525526,11.3520521072987
"PRAP1",3.92686902619371,2.48575210607206,0,4.18211988151892,1.17800081945613,0,3.06635175354097,1.87322005046599,1.25756893476333,0.538488897613301,0.575830752003677,1.29904697623152
"PRC1",768.042005253934,771.930860371643,1351.65429421427,854.465805422244,1643.85050284619,1319.26287079431,751.373642869312,1173.89434814606,1075.97061398336,2331.86325035776,2380.97138175406,2382.02482460048
"PRCC",2064.62837460693,1966.74589830437,2332.32882524985,2179.57158859992,2249.03430155899,2535.93866028157,2437.18449675872,2216.13996451587,1817.53117785606,1123.12518686852,1714.97543682305,1784.70043032717
"PRCD",28.639042156635,42.1572132527691,21.5327338108891,6.91001943648826,4.45654689724831,4.38270068435244,2.95321366477774,3.82983930916987,0,7.02074519755901,7.71022340558918,0.563317842488364
"PRCP",353.278445952698,492.85866522771,467.000879852029,3426.71910221362,4189.78202364642,2956.3396406984,3391.84216242771,6542.02928548576,1936.54220849493,1214.79364942747,1477.77491763417,870.483095369297
